id,id_Key,Date_Proc,Lat_DNB,Lon_DNB,Rad_DNB,Date_Mscan,Date_LTZ,Line_DNB,Sample_DNB,Rad_I04,QF_Detect,QF_Bitflag,SMI,Thr_SMI,SI,Thr_SI,SHI,Thr_SHI,LI,Thr_LI,Glint,Thr_Gl_SMI,Xcorr,Land_Mask,EEZ,FMZ,MPA,File_DNB,File_GDNB,File_I04,File_VNF,File_EEZ,File_FMZ,File_MPA,File_FLM,File_LSM,File_LTZ,File_RLP,Dist_RLP,File_RLV,Lat_Gring,Lon_Gring,Gran_List,SOLZ_GDNBO,SOLA_GDNBO,SATZ_GDNBO,SATA_GDNBO,LUNZ_GDNBO,LUNA_GDNBO
1,VBD_npp_d20200508_t1606226_x1319904E_y071985N_l0397_s0767_v23,2020-06-13 15:47:58,7.198501,131.990372,8.65271,2020-05-08 16:06:22,2020-05-09 01:06:22,397,767,0.38684,1,2273,0.352247,0.313556,0.596395,0.4,0.786318,0.75,0.146202,0.0001,5.5318e-07,999999,2.433406e-02,3,Palau Exclusive Economic Zone,,,SVDNB_npp_d20200508_t1605396_e1607038_b44198_c20200508172933983992_noac_ops.h5,GDNBO_npp_d20200508_t1605396_e1607038_b44198_c20200508172933952958_noac_ops.h5,SVI04_npp_d20200508_t1605396_e1607038_b44198_c20200508172939960189_noac_ops.dspace_rad,VNFF_npp_d20200508_t1605396_e1607038_b44198_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,10.421928;8.531134;6.173605;1.307937;3.516001;5.528248,127.191101;141.069946;154.697739;153.505997;139.945496;126.219109,npp_d20200508_t1601234_e1602476_b44198;npp_d20200508_t1602488_e1604130_b44198;npp_d20200508_t1604142_e1605384_b44198;npp_d20200508_t1605396_e1607038_b44198,151.607,30.092,55.0439,97.5848,26.9657,172.882
1,VBD_npp_d20200508_t1608183_x1282479E_y008432N_l0666_s0433_v23,2020-06-13 15:41:23,0.843234,128.247940,66.7855,2020-05-08 16:08:18,2020-05-09 01:08:18,666,433,0.289604,1,2529,0.82978,0.429379,0.755596,0.4,0.868934,0.75,0.154459,0.0001,3.06735e-08,999999,-2.100447e-01,3,,WPP715,,SVDNB_npp_d20200508_t1607050_e1608292_b44198_c20200508173002695193_noac_ops.h5,GDNBO_npp_d20200508_t1607050_e1608292_b44198_c20200508173002684025_noac_ops.h5,SVI04_npp_d20200508_t1607050_e1608292_b44198_c20200508173009670049_noac_ops.dspace_rad,VNFF_npp_d20200508_t1607050_e1608292_b44198_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,5.530891;3.510538;1.309808;-3.572273;-1.504862;0.651672,126.214577;139.937759;153.501419;152.419662;138.821426;125.143967,npp_d20200508_t1607050_e1608292_b44198;npp_d20200508_t1608304_e1609546_b44198;npp_d20200508_t1609558_e1611200_b44198;npp_d20200508_t1611212_e1612454_b44198,158.734,30.7477,62.7194,98.6692,21.357,162.252
1,VBD_npp_d20200508_t1610335_x1235896E_y064394S_l0348_s0030_v23,2020-06-13 15:41:23,-6.439395,123.589622,17.8073,2020-05-08 16:10:33,2020-05-09 00:10:33,348,30,0.369839,1,2529,0.485771,0.288791,0.718713,0.4,0.83787,0.75,0.160029,0.0001,5.06309e-10,999999,3.009762e-02,3,Indonesian Exclusive Economic Zone,WPP714,,SVDNB_npp_d20200508_t1609558_e1611200_b44198_c20200508173013908774_noac_ops.h5,GDNBO_npp_d20200508_t1609558_e1611200_b44198_c20200508173013902830_noac_ops.h5,SVI04_npp_d20200508_t1609558_e1611200_b44198_c20200508173025411800_noac_ops.dspace_rad,VNFF_npp_d20200508_t1609558_e1611200_b44198_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-4.205585;-6.529188;-8.460066;-13.362627;-11.539602;-9.044525,123.954849;137.686081;151.429031;150.543610;136.550705;122.655502,npp_d20200508_t1607050_e1608292_b44198;npp_d20200508_t1608304_e1609546_b44198;npp_d20200508_t1609558_e1611200_b44198;npp_d20200508_t1611212_e1612454_b44198,167.079,31.8869,69.8195,100.539,16.7253,141.468
2,VBD_npp_d20200508_t1610032_x1241976E_y047629S_l0078_s0053_v23,2020-06-13 15:41:23,-4.762891,124.197647,14.1386,2020-05-08 16:10:03,2020-05-09 00:10:03,78,53,0.359597,1,2273,0.340282,0.312068,0.508534,0.4,0.78667,0.75,0.158787,0.0001,5.28277e-10,999999,-8.569580e-02,3,Indonesian Exclusive Economic Zone,WPP714,,SVDNB_npp_d20200508_t1609558_e1611200_b44198_c20200508173013908774_noac_ops.h5,GDNBO_npp_d20200508_t1609558_e1611200_b44198_c20200508173013902830_noac_ops.h5,SVI04_npp_d20200508_t1609558_e1611200_b44198_c20200508173025411800_noac_ops.dspace_rad,VNFF_npp_d20200508_t1609558_e1611200_b44198_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-4.205585;-6.529188;-8.460066;-13.362627;-11.539602;-9.044525,123.954849;137.686081;151.429031;150.543610;136.550705;122.655502,npp_d20200508_t1607050_e1608292_b44198;npp_d20200508_t1608304_e1609546_b44198;npp_d20200508_t1609558_e1611200_b44198;npp_d20200508_t1611212_e1612454_b44198,165.395,29.9999,69.4513,100.021,17.8077,145.951
3,VBD_npp_d20200508_t1610548_x1248808E_y079019S_l0532_s0263_v23,2020-06-13 15:41:23,-7.901857,124.880791,10.5346,2020-05-08 16:10:54,2020-05-09 00:10:54,532,263,0.394166,1,2529,0.415721,0.30032,0.766594,0.4,0.807009,0.75,0.162065,0.0001,1.53275e-08,999999,2.475577e-02,3,Indonesian Exclusive Economic Zone,WPP714,,SVDNB_npp_d20200508_t1609558_e1611200_b44198_c20200508173013908774_noac_ops.h5,GDNBO_npp_d20200508_t1609558_e1611200_b44198_c20200508173013902830_noac_ops.h5,SVI04_npp_d20200508_t1609558_e1611200_b44198_c20200508173025411800_noac_ops.dspace_rad,VNFF_npp_d20200508_t1609558_e1611200_b44198_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-4.205585;-6.529188;-8.460066;-13.362627;-11.539602;-9.044525,123.954849;137.686081;151.429031;150.543610;136.550705;122.655502,npp_d20200508_t1607050_e1608292_b44198;npp_d20200508_t1608304_e1609546_b44198;npp_d20200508_t1609558_e1611200_b44198;npp_d20200508_t1611212_e1612454_b44198,167.453,40.4354,65.9573,100.898,14.6975,141.897
4,VBD_npp_d20200508_t1610050_x1339071E_y064742S_l0083_s1489_v23,2020-06-13 15:41:23,-6.474191,133.907104,34.3136,2020-05-08 16:10:05,2020-05-09 01:10:05,83,1489,0.416573,1,2529,0.813049,0.364621,0.752691,0.4,0.919385,0.75,0.163826,0.0001,0.00452982,999999,-7.419749e-02,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20200508_t1609558_e1611200_b44198_c20200508173013908774_noac_ops.h5,GDNBO_npp_d20200508_t1609558_e1611200_b44198_c20200508173013902830_noac_ops.h5,SVI04_npp_d20200508_t1609558_e1611200_b44198_c20200508173025411800_noac_ops.dspace_rad,VNFF_npp_d20200508_t1609558_e1611200_b44198_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-4.205585;-6.529188;-8.460066;-13.362627;-11.539602;-9.044525,123.954849;137.686081;151.429031;150.543610;136.550705;122.655502,npp_d20200508_t1607050_e1608292_b44198;npp_d20200508_t1608304_e1609546_b44198;npp_d20200508_t1609558_e1611200_b44198;npp_d20200508_t1611212_e1612454_b44198,159.907,55.7573,29.6477,99.7634,12.8774,177.639
5,VBD_npp_d20200508_t1610086_x1338565E_y066893S_l0116_s1489_v23,2020-06-13 15:41:23,-6.689344,133.856537,35.9651,2020-05-08 16:10:08,2020-05-09 01:10:08,116,1489,0.41643,1,2529,0.854643,0.332118,0.769287,0.4,0.934665,0.75,0.164011,0.0001,0.00460079,999999,6.315803e-02,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20200508_t1609558_e1611200_b44198_c20200508173013908774_noac_ops.h5,GDNBO_npp_d20200508_t1609558_e1611200_b44198_c20200508173013902830_noac_ops.h5,SVI04_npp_d20200508_t1609558_e1611200_b44198_c20200508173025411800_noac_ops.dspace_rad,VNFF_npp_d20200508_t1609558_e1611200_b44198_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-4.205585;-6.529188;-8.460066;-13.362627;-11.539602;-9.044525,123.954849;137.686081;151.429031;150.543610;136.550705;122.655502,npp_d20200508_t1607050_e1608292_b44198;npp_d20200508_t1608304_e1609546_b44198;npp_d20200508_t1609558_e1611200_b44198;npp_d20200508_t1611212_e1612454_b44198,160.057,56.1963,29.6507,99.6735,12.6605,177.439
6,VBD_npp_d20200508_t1610068_x1338750E_y066672S_l0112_s1490_v23,2020-06-13 15:41:23,-6.667156,133.875046,15.9397,2020-05-08 16:10:06,2020-05-09 01:10:06,112,1490,0.416573,1,2529,0.547876,0.350994,0.831742,0.4,0.868001,0.75,0.16399,0.0001,0.00477978,999999,-1.661017e-02,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20200508_t1609558_e1611200_b44198_c20200508173013908774_noac_ops.h5,GDNBO_npp_d20200508_t1609558_e1611200_b44198_c20200508173013902830_noac_ops.h5,SVI04_npp_d20200508_t1609558_e1611200_b44198_c20200508173025411800_noac_ops.dspace_rad,VNFF_npp_d20200508_t1609558_e1611200_b44198_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-4.205585;-6.529188;-8.460066;-13.362627;-11.539602;-9.044525,123.954849;137.686081;151.429031;150.543610;136.550705;122.655502,npp_d20200508_t1607050_e1608292_b44198;npp_d20200508_t1608304_e1609546_b44198;npp_d20200508_t1609558_e1611200_b44198;npp_d20200508_t1611212_e1612454_b44198,160.036,56.1611,29.6028,98.4036,12.6824,177.494
7,VBD_npp_d20200508_t1610086_x1338735E_y066714S_l0113_s1491_v23,2020-06-13 15:41:23,-6.671362,133.873489,31.2548,2020-05-08 16:10:08,2020-05-09 01:10:08,113,1491,0.416715,1,2529,0.804584,0.334975,0.83566,0.4,0.927875,0.75,0.163997,0.0001,0.00461961,999999,5.108287e-02,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20200508_t1609558_e1611200_b44198_c20200508173013908774_noac_ops.h5,GDNBO_npp_d20200508_t1609558_e1611200_b44198_c20200508173013902830_noac_ops.h5,SVI04_npp_d20200508_t1609558_e1611200_b44198_c20200508173025411800_noac_ops.dspace_rad,VNFF_npp_d20200508_t1609558_e1611200_b44198_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-4.205585;-6.529188;-8.460066;-13.362627;-11.539602;-9.044525,123.954849;137.686081;151.429031;150.543610;136.550705;122.655502,npp_d20200508_t1607050_e1608292_b44198;npp_d20200508_t1608304_e1609546_b44198;npp_d20200508_t1609558_e1611200_b44198;npp_d20200508_t1611212_e1612454_b44198,160.033,56.179,29.5572,99.9897,12.678,177.517
8,VBD_npp_d20200508_t1610157_x1338355E_y071466S_l0184_s1501_v23,2020-06-13 15:41:23,-7.146635,133.835526,25.027,2020-05-08 16:10:15,2020-05-09 01:10:15,184,1501,0.33719,1,2529,0.496493,0.438379,0.709629,0.4,0.802941,0.75,0.164397,0.0001,0.00517486,999999,-3.858937e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20200508_t1609558_e1611200_b44198_c20200508173013908774_noac_ops.h5,GDNBO_npp_d20200508_t1609558_e1611200_b44198_c20200508173013902830_noac_ops.h5,SVI04_npp_d20200508_t1609558_e1611200_b44198_c20200508173025411800_noac_ops.dspace_rad,VNFF_npp_d20200508_t1609558_e1611200_b44198_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-4.205585;-6.529188;-8.460066;-13.362627;-11.539602;-9.044525,123.954849;137.686081;151.429031;150.543610;136.550705;122.655502,npp_d20200508_t1607050_e1608292_b44198;npp_d20200508_t1608304_e1609546_b44198;npp_d20200508_t1609558_e1611200_b44198;npp_d20200508_t1611212_e1612454_b44198,160.301,57.269,29.0809,99.2751,12.1957,177.377
9,VBD_npp_d20200508_t1610086_x1339444E_y067454S_l0122_s1503_v23,2020-06-13 15:41:23,-6.745417,133.944351,21.2057,2020-05-08 16:10:08,2020-05-09 01:10:08,122,1503,0.426531,1,2529,0.673257,0.316129,0.700114,0.4,0.898526,0.75,0.16406,0.0001,0.00514733,999999,1.307247e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20200508_t1609558_e1611200_b44198_c20200508173013908774_noac_ops.h5,GDNBO_npp_d20200508_t1609558_e1611200_b44198_c20200508173013902830_noac_ops.h5,SVI04_npp_d20200508_t1609558_e1611200_b44198_c20200508173025411800_noac_ops.dspace_rad,VNFF_npp_d20200508_t1609558_e1611200_b44198_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-4.205585;-6.529188;-8.460066;-13.362627;-11.539602;-9.044525,123.954849;137.686081;151.429031;150.543610;136.550705;122.655502,npp_d20200508_t1607050_e1608292_b44198;npp_d20200508_t1608304_e1609546_b44198;npp_d20200508_t1609558_e1611200_b44198;npp_d20200508_t1611212_e1612454_b44198,160.016,56.4476,28.9907,99.0253,12.5998,177.815
10,VBD_npp_d20200508_t1610121_x1339090E_y069147S_l0148_s1504_v23,2020-06-13 15:41:23,-6.914725,133.909027,21.2102,2020-05-08 16:10:12,2020-05-09 01:10:12,148,1504,0.423259,1,2529,0.65,0.356332,0.806757,0.4,0.882639,0.75,0.164203,0.0001,0.00515113,999999,-3.916913e-02,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20200508_t1609558_e1611200_b44198_c20200508173013908774_noac_ops.h5,GDNBO_npp_d20200508_t1609558_e1611200_b44198_c20200508173013902830_noac_ops.h5,SVI04_npp_d20200508_t1609558_e1611200_b44198_c20200508173025411800_noac_ops.dspace_rad,VNFF_npp_d20200508_t1609558_e1611200_b44198_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-4.205585;-6.529188;-8.460066;-13.362627;-11.539602;-9.044525,123.954849;137.686081;151.429031;150.543610;136.550705;122.655502,npp_d20200508_t1607050_e1608292_b44198;npp_d20200508_t1608304_e1609546_b44198;npp_d20200508_t1609558_e1611200_b44198;npp_d20200508_t1611212_e1612454_b44198,160.126,56.8091,28.9412,99.6857,12.4287,177.691
11,VBD_npp_d20200508_t1610104_x1339369E_y068316S_l0135_s1505_v23,2020-06-13 15:41:23,-6.831600,133.936935,27.2452,2020-05-08 16:10:10,2020-05-09 01:10:10,135,1505,0.425677,1,2529,0.748642,0.33138,0.767585,0.4,0.902668,0.75,0.164133,0.0001,0.00520058,999999,6.627562e-02,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20200508_t1609558_e1611200_b44198_c20200508173013908774_noac_ops.h5,GDNBO_npp_d20200508_t1609558_e1611200_b44198_c20200508173013902830_noac_ops.h5,SVI04_npp_d20200508_t1609558_e1611200_b44198_c20200508173025411800_noac_ops.dspace_rad,VNFF_npp_d20200508_t1609558_e1611200_b44198_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-4.205585;-6.529188;-8.460066;-13.362627;-11.539602;-9.044525,123.954849;137.686081;151.429031;150.543610;136.550705;122.655502,npp_d20200508_t1607050_e1608292_b44198;npp_d20200508_t1608304_e1609546_b44198;npp_d20200508_t1609558_e1611200_b44198;npp_d20200508_t1611212_e1612454_b44198,160.063,56.6456,28.8938,99.3567,12.5123,177.798
12,VBD_npp_d20200508_t1610139_x1339494E_y070433S_l0166_s1514_v23,2020-06-13 15:41:23,-7.043258,133.949371,19.6157,2020-05-08 16:10:13,2020-05-09 01:10:13,166,1514,0.42397,1,2529,0.606401,0.430752,0.696098,0.4,0.857583,0.75,0.164314,0.0001,0.00556379,999999,-3.536627e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20200508_t1609558_e1611200_b44198_c20200508173013908774_noac_ops.h5,GDNBO_npp_d20200508_t1609558_e1611200_b44198_c20200508173013902830_noac_ops.h5,SVI04_npp_d20200508_t1609558_e1611200_b44198_c20200508173025411800_noac_ops.dspace_rad,VNFF_npp_d20200508_t1609558_e1611200_b44198_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-4.205585;-6.529188;-8.460066;-13.362627;-11.539602;-9.044525,123.954849;137.686081;151.429031;150.543610;136.550705;122.655502,npp_d20200508_t1607050_e1608292_b44198;npp_d20200508_t1608304_e1609546_b44198;npp_d20200508_t1609558_e1611200_b44198;npp_d20200508_t1611212_e1612454_b44198,160.156,57.1732,28.4683,99.4768,12.2963,177.881
13,VBD_npp_d20200508_t1610157_x1346885E_y072800S_l0183_s1628_v23,2020-06-13 15:41:23,-7.279955,134.688477,13.7523,2020-05-08 16:10:15,2020-05-09 01:10:15,183,1628,0.426389,1,2273,0.429522,0.354986,0.721511,0.4,0.77315,0.75,0.164526,0.0001,0.0109419,999999,-3.348297e-02,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20200508_t1609558_e1611200_b44198_c20200508173013908774_noac_ops.h5,GDNBO_npp_d20200508_t1609558_e1611200_b44198_c20200508173013902830_noac_ops.h5,SVI04_npp_d20200508_t1609558_e1611200_b44198_c20200508173025411800_noac_ops.dspace_rad,VNFF_npp_d20200508_t1609558_e1611200_b44198_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-4.205585;-6.529188;-8.460066;-13.362627;-11.539602;-9.044525,123.954849;137.686081;151.429031;150.543610;136.550705;122.655502,npp_d20200508_t1607050_e1608292_b44198;npp_d20200508_t1608304_e1609546_b44198;npp_d20200508_t1609558_e1611200_b44198;npp_d20200508_t1611212_e1612454_b44198,159.654,58.7034,22.8473,99.3003,12.0499,-178.725
14,VBD_npp_d20200508_t1609561_x1362431E_y063058S_l0002_s1817_v23,2020-06-13 15:41:23,-6.305789,136.243088,13.4107,2020-05-08 16:09:56,2020-05-09 01:09:56,2,1817,0.290173,2,2209,0.328242,0.2926,0.565222,0.4,0.61434,0.75,0.1636,0.0001,0.0222319,999999,6.181756e-02,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20200508_t1609558_e1611200_b44198_c20200508173013908774_noac_ops.h5,GDNBO_npp_d20200508_t1609558_e1611200_b44198_c20200508173013902830_noac_ops.h5,SVI04_npp_d20200508_t1609558_e1611200_b44198_c20200508173025411800_noac_ops.dspace_rad,VNFF_npp_d20200508_t1609558_e1611200_b44198_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-4.205585;-6.529188;-8.460066;-13.362627;-11.539602;-9.044525,123.954849;137.686081;151.429031;150.543610;136.550705;122.655502,npp_d20200508_t1607050_e1608292_b44198;npp_d20200508_t1608304_e1609546_b44198;npp_d20200508_t1609558_e1611200_b44198;npp_d20200508_t1611212_e1612454_b44198,157.898,58.3566,12.5407,100.503,13.152,-172.573
15,VBD_npp_d20200508_t1610210_x1396294E_y084189S_l0236_s2370_v23,2020-06-13 15:41:23,-8.418905,139.629395,19.6877,2020-05-08 16:10:21,2020-05-09 01:10:21,236,2370,0.40889,1,2529,0.533766,0.382188,0.622067,0.4,0.829191,0.75,0.164528,0.0001,0.0132772,999999,-1.484367e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20200508_t1609558_e1611200_b44198_c20200508173013908774_noac_ops.h5,GDNBO_npp_d20200508_t1609558_e1611200_b44198_c20200508173013902830_noac_ops.h5,SVI04_npp_d20200508_t1609558_e1611200_b44198_c20200508173025411800_noac_ops.dspace_rad,VNFF_npp_d20200508_t1609558_e1611200_b44198_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-4.205585;-6.529188;-8.460066;-13.362627;-11.539602;-9.044525,123.954849;137.686081;151.429031;150.543610;136.550705;122.655502,npp_d20200508_t1607050_e1608292_b44198;npp_d20200508_t1608304_e1609546_b44198;npp_d20200508_t1609558_e1611200_b44198;npp_d20200508_t1611212_e1612454_b44198,155.813,66.0672,19.1305,-80.737,12.0534,-155.137
16,VBD_npp_d20200508_t1610317_x1395166E_y089734S_l0321_s2372_v23,2020-06-13 15:41:23,-8.973386,139.516647,26.2014,2020-05-08 16:10:31,2020-05-09 01:10:31,321,2372,0.347647,1,2529,0.548295,0.475862,0.797459,0.4,0.796049,0.75,0.164904,0.0001,0.0131288,999999,-5.442964e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20200508_t1609558_e1611200_b44198_c20200508173013908774_noac_ops.h5,GDNBO_npp_d20200508_t1609558_e1611200_b44198_c20200508173013902830_noac_ops.h5,SVI04_npp_d20200508_t1609558_e1611200_b44198_c20200508173025411800_noac_ops.dspace_rad,VNFF_npp_d20200508_t1609558_e1611200_b44198_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-4.205585;-6.529188;-8.460066;-13.362627;-11.539602;-9.044525,123.954849;137.686081;151.429031;150.543610;136.550705;122.655502,npp_d20200508_t1607050_e1608292_b44198;npp_d20200508_t1608304_e1609546_b44198;npp_d20200508_t1609558_e1611200_b44198;npp_d20200508_t1611212_e1612454_b44198,156.095,67.158,19.2456,-82.6368,11.5138,-154.277
17,VBD_npp_d20200508_t1610335_x1395736E_y090982S_l0338_s2384_v23,2020-06-13 15:41:23,-9.098176,139.573639,23.6821,2020-05-08 16:10:33,2020-05-09 01:10:33,338,2384,0.39317,1,2529,0.558524,0.383702,0.806127,0.4,0.824663,0.75,0.164973,0.0001,0.0124602,999999,-1.548337e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20200508_t1609558_e1611200_b44198_c20200508173013908774_noac_ops.h5,GDNBO_npp_d20200508_t1609558_e1611200_b44198_c20200508173013902830_noac_ops.h5,SVI04_npp_d20200508_t1609558_e1611200_b44198_c20200508173025411800_noac_ops.dspace_rad,VNFF_npp_d20200508_t1609558_e1611200_b44198_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-4.205585;-6.529188;-8.460066;-13.362627;-11.539602;-9.044525,123.954849;137.686081;151.429031;150.543610;136.550705;122.655502,npp_d20200508_t1607050_e1608292_b44198;npp_d20200508_t1608304_e1609546_b44198;npp_d20200508_t1609558_e1611200_b44198;npp_d20200508_t1611212_e1612454_b44198,156.085,67.4629,19.8824,-82.4171,11.428,-153.727
