id,id_Key,Date_Proc,Lat_DNB,Lon_DNB,Rad_DNB,Date_Mscan,Date_LTZ,Line_DNB,Sample_DNB,Rad_I04,QF_Detect,QF_Bitflag,SMI,Thr_SMI,SI,Thr_SI,SHI,Thr_SHI,LI,Thr_LI,Glint,Thr_Gl_SMI,Xcorr,Land_Mask,EEZ,FMZ,MPA,File_DNB,File_GDNB,File_I04,File_VNF,File_EEZ,File_FMZ,File_MPA,File_FLM,File_LSM,File_LTZ,File_RLP,Dist_RLP,File_RLV,Lat_Gring,Lon_Gring,Gran_List,SOLZ_GDNBO,SOLA_GDNBO,SATZ_GDNBO,SATA_GDNBO,LUNZ_GDNBO,LUNA_GDNBO
1,VBD_npp_d20200605_t1543215_x1340796E_y008995S_l0615_s0411_v23,2020-08-04 16:18:10,-0.899451,134.079590,26.4236,2020-06-05 15:43:21,2020-06-06 00:43:21,615,411,0.374107,1,2529,0.630456,0.387583,0.678512,0.4,0.876727,0.75,0.274286,0.0001,1.35981e-05,999999,-6.494355e-02,3,Indonesian Exclusive Economic Zone,WPP717,,SVDNB_npp_d20200605_t1542136_e1543377_b44595_c20200605170409192949_nobc_ops.h5,GDNBO_npp_d20200605_t1542136_e1543377_b44595_c20200605170409189593_nobc_ops.h5,SVI04_npp_d20200605_t1542136_e1543377_b44595_c20200605170409430166_nobc_ops.dspace_rad,VNFF_npp_d20200605_t1542136_e1543377_b44595_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,3.454520;1.374526;-0.763126;-5.651484;-3.640970;-1.418485,132.162537;145.847321;159.411804;158.373642;144.730713;131.047348,npp_d20200605_t1537591_e1539215_b44595;npp_d20200605_t1539228_e1540469_b44595;npp_d20200605_t1540482_e1542123_b44595;npp_d20200605_t1542136_e1543377_b44595,156.082,23.9156,63.1558,99.1335,23.7471,-150.266
1,VBD_npp_d20200605_t1545011_x1335725E_y068479S_l0751_s0544_v23,2020-08-04 16:36:51,-6.847922,133.572540,25.7368,2020-06-05 15:45:01,2020-06-06 00:45:01,751,544,0.220464,1,2529,0.453121,0.416719,0.671301,0.4,0.766737,0.75,0.285859,0.0001,0.000107716,999999,-4.255147e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20200605_t1543390_e1545031_b44595_c20200605170406921222_nobc_ops.h5,GDNBO_npp_d20200605_t1543390_e1545031_b44595_c20200605170406897654_nobc_ops.h5,SVI04_npp_d20200605_t1543390_e1545031_b44595_c20200605170409269579_nobc_ops.dspace_rad,VNFF_npp_d20200605_t1543390_e1545031_b44595_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-1.414953;-3.645908;-5.649370;-10.547127;-8.659333;-6.269914,131.042526;144.723007;158.369125;157.431168;143.598282;129.817139,npp_d20200605_t1543390_e1545031_b44595;npp_d20200605_t1545044_e1546286_b44595;npp_d20200605_t1546298_e1547540_b44595;npp_d20200605_t1547552_e1549194_b44595,161.418,30.746,60.4081,99.9213,18.6612,-141.75
2,VBD_npp_d20200605_t1545011_x1336312E_y067945S_l0742_s0551_v23,2020-08-04 16:36:51,-6.794456,133.631195,79.6634,2020-06-05 15:45:01,2020-06-06 00:45:01,742,551,0.359668,1,2529,1.05756,0.301174,0.823694,0.4,0.946342,0.75,0.285809,0.0001,0.000108288,999999,9.913862e-02,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20200605_t1543390_e1545031_b44595_c20200605170406921222_nobc_ops.h5,GDNBO_npp_d20200605_t1543390_e1545031_b44595_c20200605170406897654_nobc_ops.h5,SVI04_npp_d20200605_t1543390_e1545031_b44595_c20200605170409269579_nobc_ops.dspace_rad,VNFF_npp_d20200605_t1543390_e1545031_b44595_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-1.414953;-3.645908;-5.649370;-10.547127;-8.659333;-6.269914,131.042526;144.723007;158.369125;157.431168;143.598282;129.817139,npp_d20200605_t1543390_e1545031_b44595;npp_d20200605_t1545044_e1546286_b44595;npp_d20200605_t1546298_e1547540_b44595;npp_d20200605_t1547552_e1549194_b44595,161.343,30.8064,60.2558,100.266,18.7405,-141.719
3,VBD_npp_d20200605_t1545011_x1336251E_y068643S_l0752_s0552_v23,2020-08-04 16:36:51,-6.864333,133.625122,62.4381,2020-06-05 15:45:01,2020-06-06 00:45:01,752,552,0.352412,1,2529,0.577715,0.315424,0.770682,0.4,0.812743,0.75,0.285802,0.0001,0.000114554,999999,3.443180e-02,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20200605_t1543390_e1545031_b44595_c20200605170406921222_nobc_ops.h5,GDNBO_npp_d20200605_t1543390_e1545031_b44595_c20200605170406897654_nobc_ops.h5,SVI04_npp_d20200605_t1543390_e1545031_b44595_c20200605170409269579_nobc_ops.dspace_rad,VNFF_npp_d20200605_t1543390_e1545031_b44595_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-1.414953;-3.645908;-5.649370;-10.547127;-8.659333;-6.269914,131.042526;144.723007;158.369125;157.431168;143.598282;129.817139,npp_d20200605_t1543390_e1545031_b44595;npp_d20200605_t1545044_e1546286_b44595;npp_d20200605_t1546298_e1547540_b44595;npp_d20200605_t1547552_e1549194_b44595,161.406,30.8981,60.2361,99.8753,18.681,-141.603
4,VBD_npp_d20200605_t1545029_x1336250E_y068652S_l0753_s0553_v23,2020-08-04 16:36:51,-6.865191,133.624954,22.3548,2020-06-05 15:45:02,2020-06-06 00:45:02,753,553,0.349069,7,2465,0.552446,0.33616,0.770682,0.4,0.703303,0.75,0.285795,0.0001,0.000108697,999999,-5.972165e-02,3,,,,SVDNB_npp_d20200605_t1543390_e1545031_b44595_c20200605170406921222_nobc_ops.h5,GDNBO_npp_d20200605_t1543390_e1545031_b44595_c20200605170406897654_nobc_ops.h5,SVI04_npp_d20200605_t1543390_e1545031_b44595_c20200605170409269579_nobc_ops.dspace_rad,VNFF_npp_d20200605_t1543390_e1545031_b44595_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-1.414953;-3.645908;-5.649370;-10.547127;-8.659333;-6.269914,131.042526;144.723007;158.369125;157.431168;143.598282;129.817139,npp_d20200605_t1543390_e1545031_b44595;npp_d20200605_t1545044_e1546286_b44595;npp_d20200605_t1546298_e1547540_b44595;npp_d20200605_t1547552_e1549194_b44595,161.403,30.9168,60.2123,100.479,18.6847,-141.586
5,VBD_npp_d20200605_t1544593_x1336783E_y067670S_l0736_s0556_v23,2020-08-04 16:36:51,-6.767010,133.678253,54.8707,2020-06-05 15:44:59,2020-06-06 00:44:59,736,556,0.290955,1,2529,0.842714,0.368918,0.754423,0.4,0.912452,0.75,0.285774,0.0001,0.000116259,999999,-2.084656e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20200605_t1543390_e1545031_b44595_c20200605170406921222_nobc_ops.h5,GDNBO_npp_d20200605_t1543390_e1545031_b44595_c20200605170406897654_nobc_ops.h5,SVI04_npp_d20200605_t1543390_e1545031_b44595_c20200605170409269579_nobc_ops.dspace_rad,VNFF_npp_d20200605_t1543390_e1545031_b44595_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-1.414953;-3.645908;-5.649370;-10.547127;-8.659333;-6.269914,131.042526;144.723007;158.369125;157.431168;143.598282;129.817139,npp_d20200605_t1543390_e1545031_b44595;npp_d20200605_t1545044_e1546286_b44595;npp_d20200605_t1546298_e1547540_b44595;npp_d20200605_t1547552_e1549194_b44595,161.299,30.8601,60.1489,99.8491,18.7873,-141.682
6,VBD_npp_d20200605_t1545011_x1336729E_y068020S_l0742_s0557_v23,2020-08-04 16:36:51,-6.802022,133.672897,21.4108,2020-06-05 15:45:01,2020-06-06 00:45:01,742,557,0.34722,2,2465,0.440578,0.415786,0.784631,0.4,0.666802,0.75,0.285767,0.0001,0.000113157,999999,-4.212757e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20200605_t1543390_e1545031_b44595_c20200605170406921222_nobc_ops.h5,GDNBO_npp_d20200605_t1543390_e1545031_b44595_c20200605170406897654_nobc_ops.h5,SVI04_npp_d20200605_t1543390_e1545031_b44595_c20200605170409269579_nobc_ops.dspace_rad,VNFF_npp_d20200605_t1543390_e1545031_b44595_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-1.414953;-3.645908;-5.649370;-10.547127;-8.659333;-6.269914,131.042526;144.723007;158.369125;157.431168;143.598282;129.817139,npp_d20200605_t1543390_e1545031_b44595;npp_d20200605_t1545044_e1546286_b44595;npp_d20200605_t1546298_e1547540_b44595;npp_d20200605_t1547552_e1549194_b44595,161.328,30.9181,60.1217,100.261,18.7606,-141.613
7,VBD_npp_d20200605_t1545029_x1337603E_y069884S_l0767_s0575_v23,2020-08-04 16:36:51,-6.988437,133.760284,35.8377,2020-06-05 15:45:02,2020-06-06 00:45:02,767,575,0.352555,1,2529,0.772419,0.311822,0.779868,0.4,0.900882,0.75,0.285638,0.0001,0.000136648,999999,5.078747e-02,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20200605_t1543390_e1545031_b44595_c20200605170406921222_nobc_ops.h5,GDNBO_npp_d20200605_t1543390_e1545031_b44595_c20200605170406897654_nobc_ops.h5,SVI04_npp_d20200605_t1543390_e1545031_b44595_c20200605170409269579_nobc_ops.dspace_rad,VNFF_npp_d20200605_t1543390_e1545031_b44595_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-1.414953;-3.645908;-5.649370;-10.547127;-8.659333;-6.269914,131.042526;144.723007;158.369125;157.431168;143.598282;129.817139,npp_d20200605_t1543390_e1545031_b44595;npp_d20200605_t1545044_e1546286_b44595;npp_d20200605_t1546298_e1547540_b44595;npp_d20200605_t1547552_e1549194_b44595,161.439,31.4322,59.7179,99.9131,18.6723,-141.054
8,VBD_npp_d20200605_t1545029_x1338070E_y070037S_l0768_s0582_v23,2020-08-04 16:36:51,-7.003699,133.806961,26.4225,2020-06-05 15:45:02,2020-06-06 00:45:02,768,582,0.315353,1,2529,0.609354,0.364564,0.758075,0.4,0.848274,0.75,0.285589,0.0001,0.000144314,999999,-1.886974e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20200605_t1543390_e1545031_b44595_c20200605170406921222_nobc_ops.h5,GDNBO_npp_d20200605_t1543390_e1545031_b44595_c20200605170406897654_nobc_ops.h5,SVI04_npp_d20200605_t1543390_e1545031_b44595_c20200605170409269579_nobc_ops.dspace_rad,VNFF_npp_d20200605_t1543390_e1545031_b44595_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-1.414953;-3.645908;-5.649370;-10.547127;-8.659333;-6.269914,131.042526;144.723007;158.369125;157.431168;143.598282;129.817139,npp_d20200605_t1543390_e1545031_b44595;npp_d20200605_t1545044_e1546286_b44595;npp_d20200605_t1546298_e1547540_b44595;npp_d20200605_t1547552_e1549194_b44595,161.427,31.5679,59.5611,99.8674,18.6899,-140.922
1,VBD_npp_d20200605_t1545047_x1334051E_y069818S_l0008_s0526_v23,2020-08-04 16:36:51,-6.981827,133.405090,35.5011,2020-06-05 15:45:04,2020-06-06 00:45:04,8,526,0.243013,1,2529,0.586056,0.365382,0.637128,0.4,0.809542,0.75,0.287372,0.0001,9.3858e-05,999999,-1.924076e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20200605_t1545044_e1546286_b44595_c20200605170411316586_nobc_ops.h5,GDNBO_npp_d20200605_t1545044_e1546286_b44595_c20200605170411306328_nobc_ops.h5,SVI04_npp_d20200605_t1545044_e1546286_b44595_c20200605170414092232_nobc_ops.dspace_rad,VNFF_npp_d20200605_t1545044_e1546286_b44595_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-6.265801;-8.663991;-10.543951;-15.449615;-13.673218;-11.096039,129.808777;143.590088;157.422943;156.580246;142.444733;128.459244,npp_d20200605_t1543390_e1545031_b44595;npp_d20200605_t1545044_e1546286_b44595;npp_d20200605_t1546298_e1547540_b44595;npp_d20200605_t1547552_e1549194_b44595,161.611,30.5788,60.8005,100.252,18.4587,-141.844
2,VBD_npp_d20200605_t1545064_x1337237E_y071401S_l0023_s0576_v23,2020-08-04 16:36:51,-7.140105,133.723740,73.6129,2020-06-05 15:45:06,2020-06-06 00:45:06,23,576,0.351488,1,2529,1.08902,0.32127,0.876778,0.4,0.954397,0.75,0.287213,0.0001,0.000135958,999999,7.890275e-03,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20200605_t1545044_e1546286_b44595_c20200605170411316586_nobc_ops.h5,GDNBO_npp_d20200605_t1545044_e1546286_b44595_c20200605170411306328_nobc_ops.h5,SVI04_npp_d20200605_t1545044_e1546286_b44595_c20200605170414092232_nobc_ops.dspace_rad,VNFF_npp_d20200605_t1545044_e1546286_b44595_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-6.265801;-8.663991;-10.543951;-15.449615;-13.673218;-11.096039,129.808777;143.590088;157.422943;156.580246;142.444733;128.459244,npp_d20200605_t1543390_e1545031_b44595;npp_d20200605_t1545044_e1546286_b44595;npp_d20200605_t1546298_e1547540_b44595;npp_d20200605_t1547552_e1549194_b44595,161.579,31.617,59.6983,100.267,18.5385,-140.814
3,VBD_npp_d20200605_t1545047_x1337874E_y070651S_l0010_s0582_v23,2020-08-04 16:36:51,-7.065071,133.787369,74.3713,2020-06-05 15:45:04,2020-06-06 00:45:04,10,582,0.27744,1,2529,1.01462,0.392425,0.836727,0.4,0.944025,0.75,0.287001,0.0001,0.000141977,999999,-3.152012e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20200605_t1545044_e1546286_b44595_c20200605170411316586_nobc_ops.h5,GDNBO_npp_d20200605_t1545044_e1546286_b44595_c20200605170411306328_nobc_ops.h5,SVI04_npp_d20200605_t1545044_e1546286_b44595_c20200605170414092232_nobc_ops.dspace_rad,VNFF_npp_d20200605_t1545044_e1546286_b44595_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-6.265801;-8.663991;-10.543951;-15.449615;-13.673218;-11.096039,129.808777;143.590088;157.422943;156.580246;142.444733;128.459244,npp_d20200605_t1543390_e1545031_b44595;npp_d20200605_t1545044_e1546286_b44595;npp_d20200605_t1546298_e1547540_b44595;npp_d20200605_t1547552_e1549194_b44595,161.486,31.6345,59.5635,100.125,18.6336,-140.833
4,VBD_npp_d20200605_t1545064_x1337779E_y071150S_l0018_s0583_v23,2020-08-04 16:36:51,-7.114951,133.777893,71.1199,2020-06-05 15:45:06,2020-06-06 00:45:06,18,583,0.347078,1,2529,1.07793,0.420826,0.884562,0.4,0.958436,0.75,0.287098,0.0001,0.000139515,999999,-4.441597e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20200605_t1545044_e1546286_b44595_c20200605170411316586_nobc_ops.h5,GDNBO_npp_d20200605_t1545044_e1546286_b44595_c20200605170411306328_nobc_ops.h5,SVI04_npp_d20200605_t1545044_e1546286_b44595_c20200605170414092232_nobc_ops.dspace_rad,VNFF_npp_d20200605_t1545044_e1546286_b44595_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-6.265801;-8.663991;-10.543951;-15.449615;-13.673218;-11.096039,129.808777;143.590088;157.422943;156.580246;142.444733;128.459244,npp_d20200605_t1543390_e1545031_b44595;npp_d20200605_t1545044_e1546286_b44595;npp_d20200605_t1546298_e1547540_b44595;npp_d20200605_t1547552_e1549194_b44595,161.529,31.7079,59.5411,100.457,18.5928,-140.743
5,VBD_npp_d20200605_t1545047_x1338123E_y070066S_l0001_s0584_v23,2020-08-04 16:36:51,-7.006628,133.812286,32.6513,2020-06-05 15:45:04,2020-06-06 00:45:04,1,584,0.343806,1,2529,0.549116,0.367408,0.708225,0.4,0.837299,0.75,0.28687,0.0001,0.000137894,999999,-2.016094e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20200605_t1545044_e1546286_b44595_c20200605170411316586_nobc_ops.h5,GDNBO_npp_d20200605_t1545044_e1546286_b44595_c20200605170411306328_nobc_ops.h5,SVI04_npp_d20200605_t1545044_e1546286_b44595_c20200605170414092232_nobc_ops.dspace_rad,VNFF_npp_d20200605_t1545044_e1546286_b44595_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-6.265801;-8.663991;-10.543951;-15.449615;-13.673218;-11.096039,129.808777;143.590088;157.422943;156.580246;142.444733;128.459244,npp_d20200605_t1543390_e1545031_b44595;npp_d20200605_t1545044_e1546286_b44595;npp_d20200605_t1546298_e1547540_b44595;npp_d20200605_t1547552_e1549194_b44595,161.423,31.6029,59.5181,100.477,18.6955,-140.89
6,VBD_npp_d20200605_t1545047_x1338002E_y071093S_l0016_s0585_v23,2020-08-04 16:36:51,-7.109311,133.800217,39.0918,2020-06-05 15:45:04,2020-06-06 00:45:04,16,585,0.336266,1,2529,0.77494,0.323752,0.884562,0.4,0.882578,0.75,0.287058,0.0001,0.000149202,999999,-3.382061e-03,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20200605_t1545044_e1546286_b44595_c20200605170411316586_nobc_ops.h5,GDNBO_npp_d20200605_t1545044_e1546286_b44595_c20200605170411306328_nobc_ops.h5,SVI04_npp_d20200605_t1545044_e1546286_b44595_c20200605170414092232_nobc_ops.dspace_rad,VNFF_npp_d20200605_t1545044_e1546286_b44595_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-6.265801;-8.663991;-10.543951;-15.449615;-13.673218;-11.096039,129.808777;143.590088;157.422943;156.580246;142.444733;128.459244,npp_d20200605_t1543390_e1545031_b44595;npp_d20200605_t1545044_e1546286_b44595;npp_d20200605_t1546298_e1547540_b44595;npp_d20200605_t1547552_e1549194_b44595,161.517,31.7349,59.4975,99.8871,18.6069,-140.72
7,VBD_npp_d20200605_t1545064_x1337995E_y071119S_l0017_s0586_v23,2020-08-04 16:36:51,-7.111940,133.799545,45.4326,2020-06-05 15:45:06,2020-06-06 00:45:06,17,586,0.333492,1,2529,0.8347,0.328541,0.884562,0.4,0.913781,0.75,0.287064,0.0001,0.000141826,999999,-2.512469e-02,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20200605_t1545044_e1546286_b44595_c20200605170411316586_nobc_ops.h5,GDNBO_npp_d20200605_t1545044_e1546286_b44595_c20200605170411306328_nobc_ops.h5,SVI04_npp_d20200605_t1545044_e1546286_b44595_c20200605170414092232_nobc_ops.dspace_rad,VNFF_npp_d20200605_t1545044_e1546286_b44595_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-6.265801;-8.663991;-10.543951;-15.449615;-13.673218;-11.096039,129.808777;143.590088;157.422943;156.580246;142.444733;128.459244,npp_d20200605_t1543390_e1545031_b44595;npp_d20200605_t1545044_e1546286_b44595;npp_d20200605_t1546298_e1547540_b44595;npp_d20200605_t1547552_e1549194_b44595,161.516,31.7551,59.4739,100.494,18.609,-140.701
8,VBD_npp_d20200605_t1545047_x1338286E_y071074S_l0015_s0589_v23,2020-08-04 16:36:51,-7.107363,133.828629,41.8803,2020-06-05 15:45:04,2020-06-06 00:45:04,15,589,0.299704,1,2529,0.642894,0.326618,0.84489,0.4,0.85163,0.75,0.287017,0.0001,0.000152731,999999,-1.639329e-02,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20200605_t1545044_e1546286_b44595_c20200605170411316586_nobc_ops.h5,GDNBO_npp_d20200605_t1545044_e1546286_b44595_c20200605170411306328_nobc_ops.h5,SVI04_npp_d20200605_t1545044_e1546286_b44595_c20200605170414092232_nobc_ops.dspace_rad,VNFF_npp_d20200605_t1545044_e1546286_b44595_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-6.265801;-8.663991;-10.543951;-15.449615;-13.673218;-11.096039,129.808777;143.590088;157.422943;156.580246;142.444733;128.459244,npp_d20200605_t1543390_e1545031_b44595;npp_d20200605_t1545044_e1546286_b44595;npp_d20200605_t1546298_e1547540_b44595;npp_d20200605_t1547552_e1549194_b44595,161.5,31.7999,59.4078,99.9227,18.6266,-140.661
9,VBD_npp_d20200605_t1545064_x1338779E_y071403S_l0019_s0598_v23,2020-08-04 16:36:51,-7.140286,133.877930,43.0347,2020-06-05 15:45:06,2020-06-06 00:45:06,19,598,0.315993,1,2529,0.76334,0.327877,0.704277,0.4,0.882574,0.75,0.287004,0.0001,0.000155739,999999,-2.211178e-02,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20200605_t1545044_e1546286_b44595_c20200605170411316586_nobc_ops.h5,GDNBO_npp_d20200605_t1545044_e1546286_b44595_c20200605170411306328_nobc_ops.h5,SVI04_npp_d20200605_t1545044_e1546286_b44595_c20200605170414092232_nobc_ops.dspace_rad,VNFF_npp_d20200605_t1545044_e1546286_b44595_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-6.265801;-8.663991;-10.543951;-15.449615;-13.673218;-11.096039,129.808777;143.590088;157.422943;156.580246;142.444733;128.459244,npp_d20200605_t1543390_e1545031_b44595;npp_d20200605_t1545044_e1546286_b44595;npp_d20200605_t1546298_e1547540_b44595;npp_d20200605_t1547552_e1549194_b44595,161.499,31.9877,59.2059,100.406,18.637,-140.475
10,VBD_npp_d20200605_t1545136_x1343958E_y076543S_l0082_s0688_v23,2020-08-04 16:36:51,-7.654343,134.395752,47.2673,2020-06-05 15:45:13,2020-06-06 00:45:13,82,688,0.277796,1,2529,0.590795,0.319642,0.616451,0.4,0.811404,0.75,0.287135,0.0001,0.000305986,999999,1.527829e-02,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20200605_t1545044_e1546286_b44595_c20200605170411316586_nobc_ops.h5,GDNBO_npp_d20200605_t1545044_e1546286_b44595_c20200605170411306328_nobc_ops.h5,SVI04_npp_d20200605_t1545044_e1546286_b44595_c20200605170414092232_nobc_ops.dspace_rad,VNFF_npp_d20200605_t1545044_e1546286_b44595_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-6.265801;-8.663991;-10.543951;-15.449615;-13.673218;-11.096039,129.808777;143.590088;157.422943;156.580246;142.444733;128.459244,npp_d20200605_t1543390_e1545031_b44595;npp_d20200605_t1545044_e1546286_b44595;npp_d20200605_t1546298_e1547540_b44595;npp_d20200605_t1547552_e1549194_b44595,161.633,34.1238,57.0656,100.472,18.5991,-138.29
