id,id_Key,Date_Proc,Lat_DNB,Lon_DNB,Rad_DNB,Date_Mscan,Date_LTZ,Line_DNB,Sample_DNB,Rad_I04,QF_Detect,QF_Bitflag,SMI,Thr_SMI,SI,Thr_SI,SHI,Thr_SHI,LI,Thr_LI,Glint,Thr_Gl_SMI,Xcorr,Land_Mask,EEZ,FMZ,MPA,File_DNB,File_GDNB,File_I04,File_VNF,File_EEZ,File_FMZ,File_MPA,File_FLM,File_LSM,File_LTZ,File_RLP,Dist_RLP,File_RLV,Lat_Gring,Lon_Gring,Gran_List,SOLZ_GDNBO,SOLA_GDNBO,SATZ_GDNBO,SATA_GDNBO,LUNZ_GDNBO,LUNA_GDNBO
1,VBD_npp_d20191218_t1530592_x1366040E_y012268S_l0534_s0336_v23,2019-12-27 23:43:13,-1.226832,136.604019,3.37765,2019-12-18 15:30:59,2019-12-19 00:30:59,534,336,0.331856,1,2529,0.196428,0.0967777,0.492963,0.4,0.897891,0.75,0.00440517,0.0001,7.18722e-88,999999,-6.019888e-02,3,Indonesian Exclusive Economic Zone,WPP717,Kepulauan Padaido Marine Nature Recreational Park,SVDNB_npp_d20191218_t1530002_e1531226_b42183_c20191218165235173843_nobc_ops.h5,GDNBO_npp_d20191218_t1530002_e1531226_b42183_c20191218165235166763_nobc_ops.h5,SVI04_npp_d20191218_t1530002_e1531226_b42183_c20191218165239405904_nobc_ops.dspace_rad,VNFF_npp_d20191218_t1530002_e1531226_b42183_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,2.531038;0.429536;-1.677582;-6.466355;-4.480781;-2.236285,135.089920;148.766327;162.338364;161.342041;147.674164;133.981247,npp_d20191218_t1525440_e1527082_b42183;npp_d20191218_t1527094_e1528336_b42183;npp_d20191218_t1528348_e1529590_b42183;npp_d20191218_t1530002_e1531226_b42183,153.454,158.622,64.5991,99.2382,76.9212,80.4936
1,VBD_npp_d20191218_t1532300_x1339394E_y061876S_l0599_s0135_v23,2019-12-27 23:49:34,-6.187610,133.939438,10.9456,2019-12-18 15:32:30,2019-12-19 00:32:30,599,135,0.342383,1,2529,0.515726,0.0968256,0.827306,0.4,0.946167,0.75,0.00298493,0.0001,1.16386e-130,999999,8.111240e-03,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20191218_t1531239_e1532480_b42183_c20191218165244771334_nobc_ops.h5,GDNBO_npp_d20191218_t1531239_e1532480_b42183_c20191218165244758873_nobc_ops.h5,SVI04_npp_d20191218_t1531239_e1532480_b42183_c20191218165247498472_nobc_ops.dspace_rad,VNFF_npp_d20191218_t1531239_e1532480_b42183_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-2.234138;-4.486476;-6.464613;-11.363630;-9.498701;-7.083477,133.974365;147.666168;161.336105;160.414886;146.540176;132.727798,npp_d20191218_t1531239_e1532480_b42183;npp_d20191218_t1532493_e1534134_b42183;npp_d20191218_t1534147_e1535388_b42183;npp_d20191218_t1535401_e1537042_b42183,149.427,165.57,68.1379,100.492,80.0488,79.6538
2,VBD_npp_d20191218_t1532442_x1337819E_y069928S_l0725_s0143_v23,2019-12-27 23:49:34,-6.992791,133.781891,10.2095,2019-12-18 15:32:44,2019-12-19 00:32:44,725,143,0.261294,1,2529,0.367612,0.0968256,0.832787,0.4,0.768336,0.75,0.00291638,0.0001,1.59773e-131,999999,-1.736278e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20191218_t1531239_e1532480_b42183_c20191218165244771334_nobc_ops.h5,GDNBO_npp_d20191218_t1531239_e1532480_b42183_c20191218165244758873_nobc_ops.h5,SVI04_npp_d20191218_t1531239_e1532480_b42183_c20191218165247498472_nobc_ops.dspace_rad,VNFF_npp_d20191218_t1531239_e1532480_b42183_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-2.234138;-4.486476;-6.464613;-11.363630;-9.498701;-7.083477,133.974365;147.666168;161.336105;160.414886;146.540176;132.727798,npp_d20191218_t1531239_e1532480_b42183;npp_d20191218_t1532493_e1534134_b42183;npp_d20191218_t1534147_e1535388_b42183;npp_d20191218_t1535401_e1537042_b42183,148.67,166.068,68.0124,100.759,80.293,79.5187
3,VBD_npp_d20191218_t1532335_x1339356E_y064487S_l0638_s0144_v23,2019-12-27 23:49:34,-6.448742,133.935608,17.6856,2019-12-18 15:32:33,2019-12-19 00:32:33,638,144,0.353977,1,2529,0.644225,0.0968256,0.857042,0.4,0.915631,0.75,0.00296256,0.0001,7.77462e-130,999999,1.642271e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20191218_t1531239_e1532480_b42183_c20191218165244771334_nobc_ops.h5,GDNBO_npp_d20191218_t1531239_e1532480_b42183_c20191218165244758873_nobc_ops.h5,SVI04_npp_d20191218_t1531239_e1532480_b42183_c20191218165247498472_nobc_ops.dspace_rad,VNFF_npp_d20191218_t1531239_e1532480_b42183_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-2.234138;-4.486476;-6.464613;-11.363630;-9.498701;-7.083477,133.974365;147.666168;161.336105;160.414886;146.540176;132.727798,npp_d20191218_t1531239_e1532480_b42183;npp_d20191218_t1532493_e1534134_b42183;npp_d20191218_t1534147_e1535388_b42183;npp_d20191218_t1535401_e1537042_b42183,149.171,165.661,67.9992,100.327,80.0857,79.6031
4,VBD_npp_d20191218_t1532442_x1337859E_y070078S_l0727_s0144_v23,2019-12-27 23:49:34,-7.007766,133.785889,35.8916,2019-12-18 15:32:44,2019-12-19 00:32:44,727,144,0.221602,1,2529,0.686371,0.0968256,0.824792,0.4,0.814477,0.75,0.00291923,0.0001,2.12351e-131,999999,7.708742e-02,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20191218_t1531239_e1532480_b42183_c20191218165244771334_nobc_ops.h5,GDNBO_npp_d20191218_t1531239_e1532480_b42183_c20191218165244758873_nobc_ops.h5,SVI04_npp_d20191218_t1531239_e1532480_b42183_c20191218165247498472_nobc_ops.dspace_rad,VNFF_npp_d20191218_t1531239_e1532480_b42183_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-2.234138;-4.486476;-6.464613;-11.363630;-9.498701;-7.083477,133.974365;147.666168;161.336105;160.414886;146.540176;132.727798,npp_d20191218_t1531239_e1532480_b42183;npp_d20191218_t1532493_e1534134_b42183;npp_d20191218_t1534147_e1535388_b42183;npp_d20191218_t1535401_e1537042_b42183,148.655,166.068,67.9966,100.697,80.2918,79.5153
5,VBD_npp_d20191218_t1532424_x1338179E_y069432S_l0716_s0146_v23,2019-12-27 23:49:34,-6.943210,133.817856,129.014,2019-12-18 15:32:42,2019-12-19 00:32:42,716,146,0.233695,2,2465,0.594146,0.0968256,0.796395,0.4,0.684329,0.75,0.00292492,0.0001,6.35833e-131,999999,3.039301e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20191218_t1531239_e1532480_b42183_c20191218165244771334_nobc_ops.h5,GDNBO_npp_d20191218_t1531239_e1532480_b42183_c20191218165244758873_nobc_ops.h5,SVI04_npp_d20191218_t1531239_e1532480_b42183_c20191218165247498472_nobc_ops.dspace_rad,VNFF_npp_d20191218_t1531239_e1532480_b42183_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-2.234138;-4.486476;-6.464613;-11.363630;-9.498701;-7.083477,133.974365;147.666168;161.336105;160.414886;146.540176;132.727798,npp_d20191218_t1531239_e1532480_b42183;npp_d20191218_t1532493_e1534134_b42183;npp_d20191218_t1534147_e1535388_b42183;npp_d20191218_t1535401_e1537042_b42183,148.712,166,67.9685,100.518,80.2558,79.5233
6,VBD_npp_d20191218_t1532442_x1338086E_y069979S_l0725_s0147_v23,2019-12-27 23:49:34,-6.997873,133.808640,43.1146,2019-12-18 15:32:44,2019-12-19 00:32:44,725,147,0.287043,1,2529,0.828281,0.0968256,0.828124,0.4,0.932509,0.75,0.00292777,0.0001,9.56766e-131,999999,-1.609111e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20191218_t1531239_e1532480_b42183_c20191218165244771334_nobc_ops.h5,GDNBO_npp_d20191218_t1531239_e1532480_b42183_c20191218165244758873_nobc_ops.h5,SVI04_npp_d20191218_t1531239_e1532480_b42183_c20191218165247498472_nobc_ops.dspace_rad,VNFF_npp_d20191218_t1531239_e1532480_b42183_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-2.234138;-4.486476;-6.464613;-11.363630;-9.498701;-7.083477,133.974365;147.666168;161.336105;160.414886;146.540176;132.727798,npp_d20191218_t1531239_e1532480_b42183;npp_d20191218_t1532493_e1534134_b42183;npp_d20191218_t1534147_e1535388_b42183;npp_d20191218_t1535401_e1537042_b42183,148.659,166.025,67.9481,100.755,80.2677,79.5135
7,VBD_npp_d20191218_t1532371_x1339173E_y066572S_l0670_s0149_v23,2019-12-27 23:49:34,-6.657175,133.917328,25.2034,2019-12-18 15:32:37,2019-12-19 00:32:37,670,149,0.291169,1,2529,0.792671,0.0968256,0.853739,0.4,0.928295,0.75,0.00293719,0.0001,1.92142e-129,999999,4.951700e-02,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20191218_t1531239_e1532480_b42183_c20191218165244771334_nobc_ops.h5,GDNBO_npp_d20191218_t1531239_e1532480_b42183_c20191218165244758873_nobc_ops.h5,SVI04_npp_d20191218_t1531239_e1532480_b42183_c20191218165247498472_nobc_ops.dspace_rad,VNFF_npp_d20191218_t1531239_e1532480_b42183_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-2.234138;-4.486476;-6.464613;-11.363630;-9.498701;-7.083477,133.974365;147.666168;161.336105;160.414886;146.540176;132.727798,npp_d20191218_t1531239_e1532480_b42183;npp_d20191218_t1532493_e1534134_b42183;npp_d20191218_t1534147_e1535388_b42183;npp_d20191218_t1535401_e1537042_b42183,148.97,165.752,67.9156,100.377,80.1273,79.5646
8,VBD_npp_d20191218_t1532424_x1338500E_y068854S_l0707_s0149_v23,2019-12-27 23:49:34,-6.885403,133.849991,16.2806,2019-12-18 15:32:42,2019-12-19 00:32:42,707,149,0.131195,1,2529,0.448264,0.0968256,0.836287,0.4,0.839889,0.75,0.00293347,0.0001,5.03046e-130,999999,-2.045222e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20191218_t1531239_e1532480_b42183_c20191218165244771334_nobc_ops.h5,GDNBO_npp_d20191218_t1531239_e1532480_b42183_c20191218165244758873_nobc_ops.h5,SVI04_npp_d20191218_t1531239_e1532480_b42183_c20191218165247498472_nobc_ops.dspace_rad,VNFF_npp_d20191218_t1531239_e1532480_b42183_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-2.234138;-4.486476;-6.464613;-11.363630;-9.498701;-7.083477,133.974365;147.666168;161.336105;160.414886;146.540176;132.727798,npp_d20191218_t1531239_e1532480_b42183;npp_d20191218_t1532493_e1534134_b42183;npp_d20191218_t1534147_e1535388_b42183;npp_d20191218_t1535401_e1537042_b42183,148.76,165.922,67.9192,100.787,80.2137,79.5291
9,VBD_npp_d20191218_t1532424_x1338473E_y068991S_l0709_s0149_v23,2019-12-27 23:49:34,-6.899081,133.847305,97.35,2019-12-18 15:32:42,2019-12-19 00:32:42,709,149,0.108077,1,2529,1.0037,0.0968256,0.836287,0.4,0.928353,0.75,0.00293347,0.0001,4.28087e-130,999999,-2.501509e-02,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20191218_t1531239_e1532480_b42183_c20191218165244771334_nobc_ops.h5,GDNBO_npp_d20191218_t1531239_e1532480_b42183_c20191218165244758873_nobc_ops.h5,SVI04_npp_d20191218_t1531239_e1532480_b42183_c20191218165247498472_nobc_ops.dspace_rad,VNFF_npp_d20191218_t1531239_e1532480_b42183_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-2.234138;-4.486476;-6.464613;-11.363630;-9.498701;-7.083477,133.974365;147.666168;161.336105;160.414886;146.540176;132.727798,npp_d20191218_t1531239_e1532480_b42183;npp_d20191218_t1532493_e1534134_b42183;npp_d20191218_t1534147_e1535388_b42183;npp_d20191218_t1535401_e1537042_b42183,148.747,165.932,67.9193,100.727,80.2189,79.5269
10,VBD_npp_d20191218_t1532424_x1338433E_y069196S_l0712_s0149_v23,2019-12-27 23:49:34,-6.919597,133.843292,84.6679,2019-12-18 15:32:42,2019-12-19 00:32:42,712,149,0.223879,1,2529,0.613155,0.0968256,0.835411,0.4,0.8415,0.75,0.00293347,0.0001,3.35406e-130,999999,-5.389719e-03,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20191218_t1531239_e1532480_b42183_c20191218165244771334_nobc_ops.h5,GDNBO_npp_d20191218_t1531239_e1532480_b42183_c20191218165244758873_nobc_ops.h5,SVI04_npp_d20191218_t1531239_e1532480_b42183_c20191218165247498472_nobc_ops.dspace_rad,VNFF_npp_d20191218_t1531239_e1532480_b42183_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-2.234138;-4.486476;-6.464613;-11.363630;-9.498701;-7.083477,133.974365;147.666168;161.336105;160.414886;146.540176;132.727798,npp_d20191218_t1531239_e1532480_b42183;npp_d20191218_t1532493_e1534134_b42183;npp_d20191218_t1534147_e1535388_b42183;npp_d20191218_t1535401_e1537042_b42183,148.728,165.947,67.9197,100.636,80.2265,79.5237
11,VBD_npp_d20191218_t1532424_x1338525E_y069426S_l0715_s0151_v23,2019-12-27 23:49:34,-6.942598,133.852539,18.7127,2019-12-18 15:32:42,2019-12-19 00:32:42,715,151,0.182196,2,2465,0.272017,0.0968256,0.823725,0.4,0.527202,0.75,0.00293917,0.0001,6.33362e-130,999999,7.642876e-02,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20191218_t1531239_e1532480_b42183_c20191218165244771334_nobc_ops.h5,GDNBO_npp_d20191218_t1531239_e1532480_b42183_c20191218165244758873_nobc_ops.h5,SVI04_npp_d20191218_t1531239_e1532480_b42183_c20191218165247498472_nobc_ops.dspace_rad,VNFF_npp_d20191218_t1531239_e1532480_b42183_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-2.234138;-4.486476;-6.464613;-11.363630;-9.498701;-7.083477,133.974365;147.666168;161.336105;160.414886;146.540176;132.727798,npp_d20191218_t1531239_e1532480_b42183;npp_d20191218_t1532493_e1534134_b42183;npp_d20191218_t1534147_e1535388_b42183;npp_d20191218_t1535401_e1537042_b42183,148.704,165.941,67.8881,100.544,80.2217,79.518
12,VBD_npp_d20191218_t1532424_x1338658E_y069451S_l0715_s0153_v23,2019-12-27 23:49:34,-6.945081,133.865814,68.1053,2019-12-18 15:32:42,2019-12-19 00:32:42,715,153,0.297428,1,2529,0.870436,0.0968256,0.823725,0.4,0.925067,0.75,0.00294486,0.0001,1.52365e-129,999999,6.063772e-02,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20191218_t1531239_e1532480_b42183_c20191218165244771334_nobc_ops.h5,GDNBO_npp_d20191218_t1531239_e1532480_b42183_c20191218165244758873_nobc_ops.h5,SVI04_npp_d20191218_t1531239_e1532480_b42183_c20191218165247498472_nobc_ops.dspace_rad,VNFF_npp_d20191218_t1531239_e1532480_b42183_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-2.234138;-4.486476;-6.464613;-11.363630;-9.498701;-7.083477,133.974365;147.666168;161.336105;160.414886;146.540176;132.727798,npp_d20191218_t1531239_e1532480_b42183;npp_d20191218_t1532493_e1534134_b42183;npp_d20191218_t1534147_e1535388_b42183;npp_d20191218_t1535401_e1537042_b42183,148.698,165.919,67.856,100.543,80.2091,79.5155
13,VBD_npp_d20191218_t1532424_x1338618E_y069656S_l0718_s0153_v23,2019-12-27 23:49:34,-6.965558,133.861755,29.4988,2019-12-18 15:32:42,2019-12-19 00:32:42,718,153,0.206452,1,2529,0.658505,0.0968256,0.823725,0.4,0.906799,0.75,0.00294486,0.0001,1.18941e-129,999999,4.619523e-03,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20191218_t1531239_e1532480_b42183_c20191218165244771334_nobc_ops.h5,GDNBO_npp_d20191218_t1531239_e1532480_b42183_c20191218165244758873_nobc_ops.h5,SVI04_npp_d20191218_t1531239_e1532480_b42183_c20191218165247498472_nobc_ops.dspace_rad,VNFF_npp_d20191218_t1531239_e1532480_b42183_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-2.234138;-4.486476;-6.464613;-11.363630;-9.498701;-7.083477,133.974365;147.666168;161.336105;160.414886;146.540176;132.727798,npp_d20191218_t1531239_e1532480_b42183;npp_d20191218_t1532493_e1534134_b42183;npp_d20191218_t1534147_e1535388_b42183;npp_d20191218_t1535401_e1537042_b42183,148.679,165.934,67.8566,100.452,80.2168,79.5123
14,VBD_npp_d20191218_t1532371_x1339691E_y066031S_l0661_s0155_v23,2019-12-27 23:49:34,-6.603115,133.969131,16.7752,2019-12-18 15:32:37,2019-12-19 00:32:37,661,155,0.262503,1,2529,0.58181,0.0968256,0.769221,0.4,0.859199,0.75,0.00296547,0.0001,5.3396e-128,999999,-6.196328e-02,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20191218_t1531239_e1532480_b42183_c20191218165244771334_nobc_ops.h5,GDNBO_npp_d20191218_t1531239_e1532480_b42183_c20191218165244758873_nobc_ops.h5,SVI04_npp_d20191218_t1531239_e1532480_b42183_c20191218165247498472_nobc_ops.dspace_rad,VNFF_npp_d20191218_t1531239_e1532480_b42183_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-2.234138;-4.486476;-6.464613;-11.363630;-9.498701;-7.083477,133.974365;147.666168;161.336105;160.414886;146.540176;132.727798,npp_d20191218_t1531239_e1532480_b42183;npp_d20191218_t1532493_e1534134_b42183;npp_d20191218_t1534147_e1535388_b42183;npp_d20191218_t1535401_e1537042_b42183,149.01,165.641,67.8182,100.645,80.0667,79.567
15,VBD_npp_d20191218_t1532424_x1338885E_y068998S_l0708_s0155_v23,2019-12-27 23:49:34,-6.899804,133.888474,106.217,2019-12-18 15:32:42,2019-12-19 00:32:42,708,155,0.190803,1,2529,0.707273,0.0968256,0.769225,0.4,0.836898,0.75,0.00295056,0.0001,6.41212e-129,999999,4.996690e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20191218_t1531239_e1532480_b42183_c20191218165244771334_nobc_ops.h5,GDNBO_npp_d20191218_t1531239_e1532480_b42183_c20191218165244758873_nobc_ops.h5,SVI04_npp_d20191218_t1531239_e1532480_b42183_c20191218165247498472_nobc_ops.dspace_rad,VNFF_npp_d20191218_t1531239_e1532480_b42183_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-2.234138;-4.486476;-6.464613;-11.363630;-9.498701;-7.083477,133.974365;147.666168;161.336105;160.414886;146.540176;132.727798,npp_d20191218_t1531239_e1532480_b42183;npp_d20191218_t1532493_e1534134_b42183;npp_d20191218_t1534147_e1535388_b42183;npp_d20191218_t1535401_e1537042_b42183,148.737,165.862,67.8231,100.752,80.1787,79.5205
16,VBD_npp_d20191218_t1532460_x1338326E_y071020S_l0740_s0155_v23,2019-12-27 23:49:34,-7.102026,133.832550,19.3071,2019-12-18 15:32:46,2019-12-19 00:32:46,740,155,0.15794,1,2529,0.536313,0.0968256,0.84794,0.4,0.855554,0.75,0.00295056,0.0001,1.36096e-129,999999,2.747990e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20191218_t1531239_e1532480_b42183_c20191218165244771334_nobc_ops.h5,GDNBO_npp_d20191218_t1531239_e1532480_b42183_c20191218165244758873_nobc_ops.h5,SVI04_npp_d20191218_t1531239_e1532480_b42183_c20191218165247498472_nobc_ops.dspace_rad,VNFF_npp_d20191218_t1531239_e1532480_b42183_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-2.234138;-4.486476;-6.464613;-11.363630;-9.498701;-7.083477,133.974365;147.666168;161.336105;160.414886;146.540176;132.727798,npp_d20191218_t1531239_e1532480_b42183;npp_d20191218_t1532493_e1534134_b42183;npp_d20191218_t1534147_e1535388_b42183;npp_d20191218_t1535401_e1537042_b42183,148.551,166.013,67.8287,100.804,80.2563,79.4894
17,VBD_npp_d20191218_t1532406_x1339180E_y068199S_l0695_s0156_v23,2019-12-27 23:49:34,-6.819898,133.918030,20.9461,2019-12-18 15:32:40,2019-12-19 00:32:40,695,156,0.259942,1,2529,0.702732,0.0968256,0.820628,0.4,0.920326,0.75,0.00295341,0.0001,1.57857e-128,999999,-3.182428e-02,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20191218_t1531239_e1532480_b42183_c20191218165244771334_nobc_ops.h5,GDNBO_npp_d20191218_t1531239_e1532480_b42183_c20191218165244758873_nobc_ops.h5,SVI04_npp_d20191218_t1531239_e1532480_b42183_c20191218165247498472_nobc_ops.dspace_rad,VNFF_npp_d20191218_t1531239_e1532480_b42183_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-2.234138;-4.486476;-6.464613;-11.363630;-9.498701;-7.083477,133.974365;147.666168;161.336105;160.414886;146.540176;132.727798,npp_d20191218_t1531239_e1532480_b42183;npp_d20191218_t1532493_e1534134_b42183;npp_d20191218_t1534147_e1535388_b42183;npp_d20191218_t1535401_e1537042_b42183,148.809,165.792,67.8069,100.637,80.1422,79.5319
18,VBD_npp_d20191218_t1532424_x1338857E_y069488S_l0715_s0156_v23,2019-12-27 23:49:34,-6.948794,133.885696,16.3931,2019-12-18 15:32:42,2019-12-19 00:32:42,715,156,0.235615,7,2465,0.374653,0.0968256,0.801353,0.4,0.697158,0.75,0.00295341,0.0001,5.63024e-129,999999,2.667378e-01,3,,,,SVDNB_npp_d20191218_t1531239_e1532480_b42183_c20191218165244771334_nobc_ops.h5,GDNBO_npp_d20191218_t1531239_e1532480_b42183_c20191218165244758873_nobc_ops.h5,SVI04_npp_d20191218_t1531239_e1532480_b42183_c20191218165247498472_nobc_ops.dspace_rad,VNFF_npp_d20191218_t1531239_e1532480_b42183_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-2.234138;-4.486476;-6.464613;-11.363630;-9.498701;-7.083477,133.974365;147.666168;161.336105;160.414886;146.540176;132.727798,npp_d20191218_t1531239_e1532480_b42183;npp_d20191218_t1532493_e1534134_b42183;npp_d20191218_t1534147_e1535388_b42183;npp_d20191218_t1535401_e1537042_b42183,148.69,165.887,67.808,100.54,80.1904,79.5117
